"","x"
"1878-12-31",0.00184189825593756
"1879-01-31",0.00184189825593756
"1879-02-28",0.00184189825593756
"1879-03-31",0.00184189825593756
"1879-04-30",0.00184189825593756
"1879-05-31",0.00184189825593756
"1879-06-30",0.00184189825593756
"1879-07-31",0.00184189825593756
"1879-08-31",0.00184189825593756
"1879-09-30",0.00184189825593756
"1879-10-31",0.00184189825593756
"1879-11-30",0.00184189825593756
"1879-12-31",0.00184189825593756
"1880-01-31",0.00184189825593756
"1880-02-29",0.00184189825593756
"1880-03-31",0.00184189825593756
"1880-04-30",0.00184189825593756
"1880-05-31",0.00184189825593756
"1880-06-30",0.00184189825593756
"1880-07-31",0.00184189825593756
"1880-08-31",0.00184189825593756
"1880-09-30",0.00184189825593756
"1880-10-31",0.00184189825593756
"1880-11-30",0.00184189825593756
"1880-12-31",0.00184189825593756
"1881-01-31",0.00184189825593756
"1881-02-28",0.00184189825593756
"1881-03-31",0.00184189825593756
"1881-04-30",0.00184189825593756
"1881-05-31",0.00184189825593756
"1881-06-30",0.00184189825593756
"1881-07-31",0.00184189825593756
"1881-08-31",0.00184189825593756
"1881-09-30",0.00184189825593756
"1881-10-31",0.00184189825593756
"1881-11-30",0.00184189825593756
"1881-12-31",0.00184189825593756
"1882-01-31",0.00184189825593756
"1882-02-28",0.00184189825593756
"1882-03-31",0.00184189825593756
"1882-04-30",0.00184189825593756
"1882-05-31",0.00184189825593756
"1882-06-30",0.00184189825593756
"1882-07-31",0.00184189825593756
"1882-08-31",0.00184189825593756
"1882-09-30",0.00184189825593756
"1882-10-31",0.00184189825593756
"1882-11-30",0.00184189825593756
"1882-12-31",0.00184189825593756
"1883-01-31",0.00184189825593756
"1883-02-28",0.00184189825593756
"1883-03-31",0.00184189825593756
"1883-04-30",0.00184189825593756
"1883-05-31",0.00184189825593756
"1883-06-30",0.00184189825593756
"1883-07-31",0.00184189825593756
"1883-08-31",0.00184189825593756
"1883-09-30",0.00184189825593756
