,strategy
1990-01-03,0.9942690305238328
1990-01-04,0.9772709530013826
1990-01-05,0.9603242076503592
1990-01-08,0.9673445793476029
1990-01-09,0.9491108283011959
1990-01-10,0.9407575035890522
1990-01-11,0.9450568172777637
1990-01-12,0.9069915408077434
1990-01-16,0.9093316135433881
1990-01-17,0.8992988617362445
1990-01-18,0.9016630834283194
1990-01-19,0.9044952245392064
1990-01-22,0.8741821774969287
1990-01-23,0.8771769754415569
1990-01-24,0.8733422036130288
1990-01-25,0.8620936271103372
1990-01-26,0.8613543735397787
1990-01-29,0.859847704854252
1990-01-30,0.854339563735197
1990-01-31,0.8706570989480656
1990-02-01,0.8696340266449476
1990-02-02,0.8756535391809888
1990-02-05,0.8784016575460422
1990-02-06,0.8720371309890861
1990-02-07,0.88376707576477
1990-02-08,0.881421270066931
1990-02-09,0.8834622527563442
1990-02-12,0.8724180085014296
1990-02-13,0.8751789574421981
1990-02-14,0.878240697110157
1990-02-15,0.8885914744266062
1990-02-16,0.8787819627514424
1990-02-20,0.8596487377051334
1990-02-21,0.8585757427290245
1990-02-22,0.8525947073932358
1990-02-23,0.8473104903916749
1990-02-26,0.8612232519093789
1990-02-27,0.8661813235196222
1990-02-28,0.8748160569360948
1990-03-01,0.874609266773283
1990-03-02,0.8848531539771262
1990-03-05,0.8778819033478468
1990-03-06,0.8930453830194959
1990-03-07,0.8889383683857546
1990-03-08,0.9049615042332432
1990-03-09,0.8942799648138692
1990-03-12,0.8974432649672145
1990-03-13,0.8856979146795474
1990-03-14,0.8891461396258048
1990-03-15,0.8946126412450845
1990-03-16,0.9137814679678711
1990-03-19,0.92307581187659
1990-03-20,0.9125406469938437
1990-03-21,0.9035352456940208
1990-03-22,0.8857144683948807
1990-03-23,0.8909241108939048
1990-03-26,0.8926419567371839
1990-03-27,0.9104382334689186
1990-03-28,0.9124460371363987
1990-03-29,0.9069156980477575
1990-03-30,0.9024639387631529
1990-04-02,0.894805270471496
1990-04-03,0.9108125420282587
1990-04-04,0.9004492853473299
1990-04-05,0.8991902851353141
1990-04-06,0.8967421776735978
1990-04-09,0.9013335263014409
1990-04-10,0.9037069918129386
1990-04-11,0.9031613540002523
1990-04-12,0.91615663890836
1990-04-16,0.9178823003913436
1990-04-17,0.917635852068114
1990-04-18,0.901380826301528
1990-04-19,0.8927118552652115
1990-04-20,0.8827576382671882
1990-04-23,0.870148233584419
1990-04-24,0.8681579908020506
1990-04-25,0.8741164512584363
1990-04-26,0.8775543529054383
1990-04-27,0.8618699872593147
1990-04-30,0.8707725515513498
1990-05-01,0.8714822041848925
1990-05-02,0.8824363883935962
1990-05-03,0.8873313538473526
1990-05-04,0.9022882454637481
1990-05-07,0.9144404242748919
1990-05-08,0.9225478795100595
1990-05-09,0.9268037339426669
1990-05-10,0.931545894933163
1990-05-11,0.9723814371494648
1990-05-14,0.9847001909462022
1990-05-15,0.9826400614495983
1990-05-16,0.9813243255862885
1990-05-17,0.9839500569519515
1990-05-18,0.9849354655456106
1990-05-21,1.0050053420441805
1990-05-22,1.007729951788788
1990-05-23,1.01254905882572
1990-05-24,1.0071730108834074
1990-05-25,0.9852684963887873
1990-05-29,1.021061865258125
1990-05-30,1.0221223721960246
1990-05-31,1.030181703395219
1990-06-01,1.0311028776383133
1990-06-04,1.0562642499810098
1990-06-05,1.0522996588634015
1990-06-06,1.0440979144540046
1990-06-07,1.033650559589612
1990-06-08,1.0065268368633409
1990-06-11,1.0227053458622546
1990-06-12,1.0525783358344398
1990-06-13,1.0439497526783827
1990-06-14,1.0323543905437076
1990-06-15,1.032390670583258
1990-06-18,0.9909030906906267
1990-06-19,0.9994843648613319
1990-06-20,1.004078537198166
1990-06-21,1.0140834444468763
1990-06-22,0.9740645316424251
1990-06-25,0.9601135948681202
1990-06-26,0.9586620387799522
1990-06-27,0.9779476987090958
1990-06-28,0.9942853185208561
1990-06-29,0.9967890929948654
1990-07-02,0.9994584419475158
1990-07-03,1.0032796943426288
1990-07-05,0.9748834745896173
1990-07-06,0.9897550568124519
1990-07-09,0.9963863791668629
1990-07-10,0.978513316145937
1990-07-11,1.0053057332465754
1990-07-12,1.0301289634993678
1990-07-13,1.0407935111997244
1990-07-16,1.0501595515796203
1990-07-17,1.0415766095811037
1990-07-18,1.0216725964162308
1990-07-19,1.0267556676350833
1990-07-20,1.008881540572865
1990-07-23,0.9664031744625938
1990-07-24,0.967775854308068
1990-07-25,0.9721650959225754
1990-07-26,0.9675066737758967
1990-07-27,0.9578468791212341
1990-07-30,0.9654041706598773
1990-07-31,0.9710006942277605
1990-08-01,0.9656699156145735
1990-08-02,0.951721971313988
1990-08-03,0.9261603662158622
1990-08-06,0.9059827061823068
1990-08-07,0.9064826881257483
1990-08-08,0.911769264772774
1990-08-09,0.9149591873343719
1990-08-10,0.90306002082208
1990-08-13,0.9110786423497848
1990-08-14,0.9124067667963003
1990-08-15,0.9142394213492537
1990-08-16,0.8916572893509128
1990-08-17,0.8817905208406647
1990-08-20,0.8832264891736297
1990-08-21,0.8680320709867888
1990-08-22,0.8578300939777548
1990-08-23,0.8414347966764797
1990-08-24,0.8468899105718292
1990-08-27,0.8608424448202342
1990-08-28,0.8606609335905119
1990-08-29,0.8660170163052782
1990-08-30,0.8543982946261152
1990-08-31,0.8629600922844093
1990-09-04,0.8639941854176572
1990-09-05,0.8665847132630236
1990-09-06,0.8581690703046174
1990-09-07,0.8638011417602959
1990-09-10,0.8600667431105248
1990-09-11,0.8588717867609633
1990-09-12,0.8621202898270219
1990-09-13,0.8535469017895103
