DATE,tlt_simulation
1953-04-01,
1953-05-01,0.9833728544499811
1953-06-01,0.9802519495848058
1953-07-01,0.999704934944082
1953-08-01,1.0060312986717075
1953-09-01,1.0143417355989441
1953-10-01,1.0407213256489076
1953-11-01,1.043149675408755
1953-12-01,1.0579755367890447
1954-01-01,1.0794668809776886
1954-02-01,1.0993345729371407
1954-03-01,1.1265312701989436
1954-04-01,1.1311580002770407
1954-05-01,1.1196171018547376
1954-06-01,1.1265407845682507
1954-07-01,1.1451648178188076
1954-08-01,1.1451122816281547
1954-09-01,1.14272000758685
1954-10-01,1.1427055432618696
1954-11-01,1.1357078868156905
1954-12-01,1.1334447313997977
1955-01-01,1.1175393572223196
1955-02-01,1.1021203611094617
1955-03-01,1.10238537259079
1955-04-01,1.1026625117577586
1955-05-01,1.1007657958543384
1955-06-01,1.1054488153163982
1955-07-01,1.0905499429106613
1955-08-01,1.0782057274883807
1955-09-01,1.0828797969035955
1955-10-01,1.1003812558789827
1955-11-01,1.1029304724551026
1955-12-01,1.0946945905888579
1956-01-01,1.1058893032397963
1956-02-01,1.1150119317129978
1956-03-01,1.100144390815473
1956-04-01,1.0711181870388162
1956-05-01,1.0903816428632727
1956-06-01,1.105794476128761
1956-07-01,1.091333150229074
1956-08-01,1.0650122681540888
1956-09-01,1.0557067683138477
1956-10-01,1.0624455803749833
1956-11-01,1.0434474600846957
1956-12-01,1.030867402950977
1957-01-01,1.0413380744747536
1957-02-01,1.065677137205436
1957-03-01,1.0644823849072886
1957-04-01,1.0515048605861297
1957-05-01,1.0370043289047424
1957-06-01,1.0100782261280394
1957-07-01,1.0004301799119144
1957-08-01,0.998080395976645
1957-09-01,1.0046258022448777
1957-10-01,1.0022811571778245
1957-11-01,1.032444894025126
1957-12-01,1.0795621694587305
1958-01-01,1.1048531418382235
1958-02-01,1.0994373890694258
1958-03-01,1.1064669692261238
1958-04-01,1.1347135725688438
1958-05-01,1.137569268393142
1958-06-01,1.127500042941488
1958-07-01,1.0969030062330793
1958-08-01,1.0486211872832678
1958-09-01,1.0239387044260377
1958-10-01,1.0252495472142307
1958-11-01,1.0374622898761565
1958-12-01,1.0224210193156258
1959-01-01,1.0096498762002566
1959-02-01,1.0111011140081891
1959-03-01,1.0090850648673722
1959-04-01,1.0002471002046125
1959-05-01,0.9916460111232669
1959-06-01,0.9932572525315015
1959-07-01,0.9932070599793358
1959-08-01,0.9982043553809659
1959-09-01,0.9783114123331321
1959-10-01,0.9981385292324716
1959-11-01,0.9998224140143813
1959-12-01,0.9817032955258247
1960-01-01,0.9706683113618021
1960-02-01,0.9967290977771381
1960-03-01,1.0237679547505123
1960-04-01,1.011751704180419
1960-05-01,1.0202898005364227
1960-06-01,1.051689262257671
1960-07-01,1.0788866576149558
1960-08-01,1.0955210216357583
1960-09-01,1.0950540074927377
1960-10-01,1.0870216992484811
1960-11-01,1.0829176157364593
1960-12-01,1.095776849840925
1961-01-01,1.101119193556994
1961-02-01,1.1161547398641385
1961-03-01,1.1254851353769644
1961-04-01,1.1289178650398641
1961-05-01,1.1464020324735456
1961-06-01,1.1198383483513537
1961-07-01,1.115553866808116
1961-08-01,1.098053583117334
1961-09-01,1.1016131068159394
1961-10-01,1.1108644358283453
1961-11-01,1.1163493697083149
1961-12-01,1.1065974566117367
1962-01-01,1.104568473801753
1962-02-01,1.1044577558961612
1962-03-01,1.1232427648940495
1962-04-01,1.1483292136999006
1962-05-01,1.1539420069349866
1962-06-01,1.1495852637643897
1962-07-01,1.1355387300645627
1962-08-01,1.1470361613326172
1962-09-01,1.1526996944334424
1962-10-01,1.1683874268543697
1962-11-01,1.1741055097104813
1962-12-01,1.1798442920941041
1963-01-01,1.179460361376807
1963-02-01,1.1770740476533443
1963-03-01,1.1787905235012628
1963-04-01,1.172447125338634
1963-05-01,1.1782507526152937
1963-06-01,1.182050611292478
1963-07-01,1.1777853376353218
1963-08-01,1.187681207169537
1963-09-01,1.179391851746401
1963-10-01,1.1772636141671318
1963-11-01,1.1732106095935015
1963-12-01,1.1712122388370934
1964-01-01,1.1751553200411784
1964-02-01,1.1830736649346656
1964-03-01,1.1771251632869926
1964-04-01,1.1771822719235852
1964-05-01,1.1891034784615924
1964-06-01,1.1991302241536972
1964-07-01,1.2051711623971608
1964-08-01,1.2051401573926772
1964-09-01,1.2051390128225574
1964-10-01,1.2092063569908338
1964-11-01,1.2194026139612613
1964-12-01,1.2214345086179148
1965-01-01,1.2234824464436913
1965-02-01,1.2234964279068683
1965-03-01,1.2296909595750511
1965-04-01,1.233841166563617
1965-05-01,1.235935464456277
1965-06-01,1.2401170461110207
1965-07-01,1.244312775450363
1965-08-01,1.2402128392657714
1965-09-01,1.2341590291297657
1965-10-01,1.2343405669202168
1965-11-01,1.2224363983471718
1965-12-01,1.2069556000460213
1966-01-01,1.2074281723290403
1966-02-01,1.1755538357419937
1966-03-01,1.1781644825780584
1966-04-01,1.1957823984922522
1966-05-01,1.1926864673744673
1966-06-01,1.1896735219709318
1966-07-01,1.173833973658511
1966-08-01,1.158566498483775
1966-09-01,1.1649843566526727
1966-10-01,1.1896148992039892
1966-11-01,1.1868694724770679
1966-12-01,1.2120595799233513
1967-01-01,1.2657631374776999
1967-02-01,1.2501138792100823
1967-03-01,1.2627969936047905
1967-04-01,1.253357459656427
1967-05-01,1.2076478728679492
1967-06-01,1.1957915995780795
1967-07-01,1.1969622931355774
1967-08-01,1.1819533913323677
1967-09-01,1.1797509357951912
1967-10-01,1.1500438852057207
1967-11-01,1.1060550599403314
