,tecl
1998-01-01,0.9861
1998-02-01,0.9725164725
1998-03-01,0.9591686839149375
1998-04-01,0.9461000105965964
1998-05-01,0.9331147879511582
1998-06-01,0.920144492398637
1998-07-01,0.9074004911789159
1998-08-01,0.8948103093638085
1998-09-01,0.882484297352322
1998-10-01,0.8712988088833814
1998-11-01,0.8607778757661146
1998-12-01,0.850706774619651
1998-12-22,
1998-12-23,0.9116424168174269
1998-12-24,0.9011845884297421
1998-12-28,0.9089005079701947
1998-12-29,0.9166601234434619
1998-12-30,0.9061642433782074
1998-12-31,0.8957494939605843
1999-01-01,0.8853811935679906
1999-01-04,0.9158740006939942
1999-01-05,0.9860860208408897
1999-01-06,1.073453986993769
1999-01-07,1.0632998919802301
1999-01-08,1.076168740516467
1999-01-11,1.1079446274611326
1999-01-12,1.0179439515654145
1999-01-13,1.0165082161951395
1999-01-14,0.9747290441977146
1999-01-15,1.061250396210089
1999-01-19,1.1713328891479675
1999-01-20,1.2033265339120798
1999-01-21,1.110075002654834
1999-01-22,1.0511896236033607
1999-01-25,1.106445104620019
1999-01-26,1.2398758316974021
1999-01-27,1.1608169243266648
1999-01-28,1.283196712688996
1999-01-29,1.339633920757792
1999-02-01,1.3269569346909107
1999-02-02,1.2595103676256043
1999-02-03,1.2864368329342821
1999-02-04,1.154411039612861
1999-02-05,1.070623072688427
1999-02-08,1.1245819667462844
1999-02-09,0.9924028752016658
1999-02-10,1.0139345656432255
1999-02-11,1.1424564111441209
1999-02-12,1.0063781733477217
1999-02-16,0.992770598711987
1999-02-17,0.925528276115324
1999-02-18,0.9408719219157208
1999-02-19,0.96675022516591
1999-02-22,1.0696302961079973
1999-02-23,1.1118813348185166
1999-02-24,1.0192577873932906
1999-02-25,1.027398082010374
1999-02-26,0.9341199987656781
1999-03-01,0.9099923956288773
1999-03-02,0.8369863220416819
1999-03-03,0.8797512359185677
1999-03-04,0.9067450249968871
1999-03-05,0.9693848998015976
1999-03-08,1.05318189350525
1999-03-09,1.019937227783888
1999-03-10,1.0198936889615162
1999-03-11,1.014433650807719
1999-03-12,0.987410782316395
1999-03-15,1.0350613399991606
1999-03-16,1.0883201651062988
1999-03-17,1.0670823896377097
1999-03-18,1.11165235662621
1999-03-19,1.0313821598387827
1999-03-22,1.0313381324580466
1999-03-23,0.9414166184829253
1999-03-24,0.9964258982974825
1999-03-25,1.0668303099671437
1999-03-26,1.050100405823108
1999-03-29,1.1683631517591655
1999-03-30,1.162412604451845
1999-03-31,1.1182576997585247
1999-04-01,1.1579593107871722
1999-04-05,1.2776490087619925
1999-04-06,1.3103023184245857
1999-04-07,1.3007432908417722
1999-04-08,1.3385120458777688
1999-04-09,1.332028954332129
1999-04-12,1.2711337819968425
1999-04-13,1.2121254351679196
1999-04-14,1.1219176733637075
1999-04-15,1.1503916926115774
1999-04-16,1.0575375321973044
1999-04-19,0.9040664529566238
1999-04-20,0.9729419056325459
1999-04-21,1.0503911379035993
1999-04-22,1.1956806716800659
1999-04-23,1.2030186104518852
1999-04-26,1.2949746412957257
1999-04-27,1.1983412515494092
1999-04-28,1.1509874372827322
1999-04-29,1.114970420360359
1999-04-30,1.0881637844395269
1999-05-01,1.0752690435939185
1999-05-03,1.1026059784879572
1999-05-04,1.052439992915063
1999-05-05,1.1171600118211813
1999-05-06,1.032905754034639
1999-05-07,1.0861030620865073
1999-05-10,1.113575934958563
1999-05-11,1.1638927121979654
1999-05-12,1.2329851964634773
1999-05-13,1.2224584447376081
1999-05-14,1.1257000865656015
1999-05-17,1.173493055081872
1999-05-18,1.2052644718422323
1999-05-19,1.216990778914135
1999-05-20,1.169523424685886
1999-05-21,1.1290789062520374
1999-05-24,1.055763246805461
1999-05-25,0.9897315070806689
1999-05-26,1.051575400089898
1999-05-27,1.0287204362337883
1999-05-28,1.0683431557606704
1999-06-01,0.9837290663115282
1999-06-02,1.0156122806653989
1999-06-03,0.9947001065396304
1999-06-04,1.0834080226874534
1999-06-07,1.1418633001909038
1999-06-08,1.062935873123981
1999-06-09,1.1112057913200666
1999-06-10,1.0614028473120924
1999-06-11,1.0184724117370187
1999-06-14,1.0040911505118013
1999-06-15,1.0311625300060223
1999-06-16,1.1585905997968955
1999-06-17,1.196828943410095
1999-06-18,1.22865565664896
1999-06-21,1.3214880906003403
1999-06-22,1.2379062812374424
1999-06-23,1.2659750253004989
1999-06-24,1.187800173639156
1999-06-25,1.1920653019284912
1999-06-28,1.2511616145972198
1999-06-29,1.29877191599695
1999-06-30,1.358260624174644
1999-07-01,1.386865263675988
1999-07-02,1.4407966336617748
1999-07-06,1.4163070334716366
1999-07-07,1.46615759240192
1999-07-08,1.5254008127211691
1999-07-09,1.5743780549640323
1999-07-12,1.581221078067241
1999-07-13,1.5603697360743278
1999-07-14,1.618667440062776
1999-07-15,1.6537719993617377
1999-07-16,1.6983028934113125
1999-07-19,1.6364946800581222
1999-07-20,1.4327484667455237
1999-07-21,1.4698963929745505
1999-07-22,1.3332635565808333
1999-07-23,1.343989409081403
1999-07-26,1.2525751947820583
1999-07-27,1.3455422301174091
1999-07-28,1.3826346092757607
1999-07-29,1.3132323279038338
1999-07-30,1.2720741968380858
1999-08-01,1.255950656393163
1999-08-02,1.2485410204359209
1999-08-03,1.2338329436663409
1999-08-04,1.188709838851676
1999-08-05,1.217019040139236
1999-08-06,1.2184075369059646
1999-08-09,1.176556336354972
1999-08-10,1.1173740970638222
1999-08-11,1.2247585650628752
1999-08-12,1.1784890542197726
1999-08-13,1.2910318391815303
1999-08-16,1.3029308874032302
1999-08-17,1.3209153828795173
1999-08-18,1.2753462386529673
1999-08-19,1.236764057002266
1999-08-20,1.2483244542781282
1999-08-23,1.3344458172552092
1999-08-24,1.3969653909915587
1999-08-25,1.4850008814469153
1999-08-26,1.4308874040473254
1999-08-27,1.406863680467948
1999-08-30,1.3373044084332872
1999-08-31,1.3723587619815014
1999-09-01,1.3761336973940343
1999-09-02,1.360583196135398
1999-09-03,1.5096499836002815
1999-09-07,1.511233002918325
1999-09-08,1.4798773702725256
1999-09-09,1.51878838105438
1999-09-10,1.56828543976467
1999-09-13,1.5040915922891982
1999-09-14,1.5532509242269532
1999-09-15,1.4559660896971542
1999-09-16,1.43664945775575
1999-09-17,1.5224687987371783
1999-09-20,1.5422333656936302
1999-09-21,1.4471658918991903
1999-09-22,1.455088293613696
1999-09-23,1.2947737545748539
1999-09-24,1.303600088014769
1999-09-27,1.3436934819922521
1999-09-28,1.3618438996019604
1999-09-29,1.2867785796708051
1999-09-30,1.316192954449101
1999-10-01,1.2750937526339883
1999-10-04,1.3683383056721161
1999-10-05,1.3927143640914856
1999-10-06,1.4436479090641143
1999-10-07,1.42143220201307
1999-10-08,1.4182400397380681
1999-10-11,1.4603960065086243
1999-10-12,1.3822127761627587
1999-10-13,1.2730739649831513
1999-10-14,1.251218691222102
1999-10-15,1.1620994596744987
1999-10-18,1.1306185752605133
1999-10-19,1.0769024573545172
1999-10-20,1.2067077591574058
1999-10-21,1.1479057200464717
1999-10-22,1.15597274173014
1999-10-25,1.1654354646354332
1999-10-26,1.1667508840352623
1999-10-27,1.1625997539103907
1999-10-28,1.2525761423114383
1999-10-29,1.391484449258534
1999-11-01,1.3664326555348603
1999-11-02,1.3482611219452494
1999-11-03,1.4080384690832306
1999-11-04,1.4403066412094743
1999-11-05,1.4871279921321228
1999-11-08,1.5317569909339008
1999-11-09,1.4812283880375887
1999-11-10,1.559155229287171
1999-11-11,1.6232964096593345
1999-11-12,1.6502834874361976
1999-11-15,1.6279881519203694
1999-11-16,1.7312547604105137
1999-11-17,1.681784903242626
1999-11-18,1.853007860316859
1999-11-19,1.9045535006275243
1999-11-22,1.9401461533839772
1999-11-23,1.8887404885977328
1999-11-24,1.9764067450412515
1999-11-26,2.0224935290631096
1999-11-29,1.9696657513720217
1999-11-30,1.7930215920821833
1999-12-01,1.8214115062686804
1999-12-02,1.9517779940556022
1999-12-03,2.1185558220030227
1999-12-06,2.162489665550087
1999-12-07,2.178630860065098
1999-12-08,2.1092212854907757
1999-12-09,2.0931716037539703
1999-12-10,2.1248381277404356
1999-12-13,2.166843766386751
1999-12-14,2.0428713693568357
1999-12-15,2.16770155108907
1999-12-16,2.2893894005126203
1999-12-17,2.3651785188657666
1999-12-20,2.433880986264086
1999-12-21,2.574028066429399
1999-12-22,2.573918186970437
1999-12-23,2.614735909213714
1999-12-27,2.674365769760464
