DATE,tmf_simulation
1977-01-01,0.04031538746657798
1977-02-01,0.03984470531790568
1977-02-16,0.04029631350585483
1977-02-17,0.040331709787638365
1977-02-18,0.03911335933948411
1977-02-22,0.039013167896952805
1977-02-23,0.038511459911512794
1977-02-24,0.03841367505124885
1977-02-25,0.03884501853589835
1977-02-28,0.038746038432567353
1977-03-01,0.037803848691750505
1977-03-02,0.03822768933792838
1977-03-03,0.03852523594417909
1977-03-04,0.038162708383770345
1977-03-07,0.03793529184361063
1977-03-08,0.037969388083919656
1977-03-09,0.03839508468723875
1977-03-10,0.038429455967050774
1977-03-11,0.03859608905217323
1977-03-14,0.03863059395578588
1977-03-15,0.03893148489719106
1977-03-16,0.03883210962951106
1977-03-17,0.03900065125029232
1977-03-18,0.03930484637953482
1977-03-21,0.03961184092895968
1977-03-22,0.03923689515490596
1977-03-23,0.03913656388938252
1977-03-24,0.0391714580497463
1977-03-25,0.039206383321743456
1977-03-28,0.038971531037699327
1977-03-29,0.039006371586447035
1977-03-30,0.03904124328264533
1977-03-31,0.03921061076008777
1977-04-01,0.0389357547437028
1977-04-04,0.038970469862632286
1977-04-05,0.039005215933561814
1977-04-06,0.03903999298408818
1977-04-07,0.0390748010418328
1977-04-11,0.03937957452053096
1977-04-12,0.03941459083819462
1977-04-13,0.039449638292367945
1977-04-14,0.041278413682622625
1977-04-15,0.04102628564128915
1977-04-18,0.04120557724048615
1977-04-19,0.040810934604853556
1977-04-20,0.040562953788519936
1977-04-21,0.04059868163821686
1977-04-22,0.04007190174473176
1977-04-25,0.039692155667635114
1977-04-26,0.04000217533613156
1977-04-27,0.03989934637103526
1977-04-28,0.039796961758278
1977-04-29,0.03928460339450377
1977-05-01,0.03879747431241193
1977-05-02,0.03883215925444723
1977-05-03,0.03900061969022164
1977-05-04,0.039169892689210804
1977-05-05,0.038935258989684564
1977-05-06,0.038170825939109074
1977-05-09,0.038205225487445385
1977-05-10,0.03823965603665466
1977-05-11,0.038274117614674884
1977-05-12,0.038308610249469216
1977-05-13,0.03913402529427556
1977-05-16,0.039303795275684075
1977-05-17,0.039610142087039175
1977-05-18,0.03964541095755345
1977-05-19,0.03913557234829227
1977-05-20,0.03917060651265847
1977-05-23,0.03934045328371134
1977-05-24,0.03991916274946564
1977-05-25,0.040230955480147094
1977-05-26,0.03998871102303378
1977-05-27,0.04030104696766654
1977-05-31,0.04033678593611746
1977-06-01,0.03972687016275782
1977-06-02,0.03989963046180537
1977-06-03,0.0402117055467918
1977-06-06,0.04024726877917738
1977-06-07,0.04098398485533903
1977-06-08,0.04101998518763595
1977-06-09,0.04105601714262476
1977-06-10,0.04123526069087447
1977-06-13,0.04184887776373597
1977-06-14,0.04232619300247967
1977-06-15,0.04221449846313205
1977-06-16,0.041955645858232395
1977-06-17,0.041992247963679126
1977-06-20,0.04188201244786018
1977-06-21,0.04206522617606015
1977-06-22,0.04224933334663109
1977-06-23,0.04228614096584268
1977-06-24,0.042619922049837826
1977-06-27,0.04280673789315523
1977-06-28,0.04314534947046168
1977-06-29,0.04318267882682353
1977-06-30,0.04291650955468895
1977-07-01,0.04239690220690652
1977-07-05,0.041692261523214175
1977-07-06,0.04172868388288084
1977-07-07,0.0419112268721075
1977-07-08,0.04150887987001012
1977-07-11,0.04154524164877623
1977-07-12,0.04158163528046054
1977-07-13,0.04205478280946086
1977-07-15,0.041797578780343
1977-07-18,0.04183414330226003
1977-07-19,0.04187073981082083
1977-07-20,0.04190736833400732
1977-07-21,0.04179773891704669
1977-07-22,0.04183435373633801
1977-07-25,0.04201717672568542
1977-07-26,0.04205393335188503
1977-07-27,0.041797401923440496
1977-07-28,0.04125324609710332
1977-07-29,0.041003552444870105
1977-08-01,0.04076193678063866
1977-08-02,0.040515216877848474
1977-08-03,0.040832550109169835
1977-08-04,0.040868564418366116
1977-08-05,0.040621199130138126
1977-08-08,0.04079810788621351
1977-08-09,0.04055148953438817
1977-08-10,0.04058740193351982
1977-08-11,0.04048288525475703
1977-08-12,0.04051878547740095
1977-08-15,0.040554717536362306
1977-08-16,0.04059068145987355
1977-08-17,0.04090816160241204
1977-08-18,0.0410863201043122
1977-08-19,0.04155163688154355
1977-08-22,0.04173295448869108
1977-08-23,0.04206097499592244
1977-08-24,0.04209782041001885
1977-08-25,0.042576841486726226
1977-08-26,0.04321253051709181
1977-08-29,0.04325002170856845
1977-08-30,0.0431356904506218
1977-08-31,0.04302185972944068
1977-09-01,0.04228363442990654
1977-09-02,0.042766289250266765
1977-09-06,0.04295384109416754
1977-09-07,0.04268942618565079
1977-09-08,0.042576773110696915
1977-09-09,0.041870681219088546
1977-09-12,0.04176133890995932
1977-09-13,0.04179797195645112
1977-09-14,0.04227320733215411
1977-09-15,0.042310137206079464
1977-09-16,0.042347099341942675
1977-09-19,0.04238409376792778
1977-09-20,0.04212521224627908
1977-09-21,0.04201520524745655
1977-09-22,0.041905677093785995
1977-09-23,0.041942487040545165
1977-09-26,0.04154220185367353
1977-09-27,0.041868035224340114
1977-09-28,0.041904862348123434
1977-09-29,0.041941721865044836
1977-09-30,0.04197861380359732
1977-10-01,0.04133214315102192
1977-10-03,0.04108132128964218
1977-10-04,0.041260409819223666
1977-10-05,0.04129675198819243
1977-10-06,0.040903555093747976
1977-10-07,0.04079803930587168
1977-10-11,0.04027103213899453
1977-10-12,0.04002948905493933
1977-10-13,0.04006522738276759
1977-10-14,0.04010099761777493
1977-10-17,0.040136799788448085
1977-10-18,0.040034528126850995
1977-10-19,0.04020820464095057
1977-10-20,0.040382718877842304
