"","V1"
"1",0.00184189825593756
"2",0.00184189825593756
"3",0.00184189825593756
"4",0.00184189825593756
"5",0.00184189825593756
"6",0.00184189825593756
"7",0.00184189825593756
"8",0.00184189825593756
"9",0.00184189825593756
"10",0.00184189825593756
"11",0.00184189825593756
"12",0.00184189825593756
"13",-0.0184132162559898
"14",0.00198073639422367
"15",0.00198072718771803
"16",0.00198071798478783
"17",0.00198070878543097
"18",0.00198069958964539
"19",0.00198069039742901
"20",0.00198068120877973
"21",0.0019806720236955
"22",0.00198066284217423
"23",0.00198065366421386
"24",0.0019806444898123
"25",-0.0620688583752252
"26",0.00242606846064113
"27",0.0024259068904588
"28",0.00242574559093869
"29",0.00242558456140125
"30",0.00242542380116919
"31",0.00242526330956751
"32",0.00242510308592344
"33",0.00242494312956647
"34",0.00242478343982831
"35",0.00242462401604293
"36",0.00242446485754647
"37",-0.0173447169508306
"38",0.00254064765080004
"39",0.00254042949404317
"40",0.00254021177823033
"41",0.00253999450202602
"42",0.00253977766410009
"43",0.00253956126312777
"44",0.00253934529778962
"45",0.00253912976677151
"46",0.00253891466876459
"47",0.00253870000246526
"48",0.00253848576657515
"49",0.000736224777958394
"50",0.00252626053878602
"51",0.00252606882281765
"52",0.00252587748749569
"53",0.00252568653168762
"54",0.00252549595426542
"55",0.00252530575410552
"56",0.00252511593008879
"57",0.00252492648110055
"58",0.00252473740603049
"59",0.00252454870377269
"60",0.00252436037322559
"61",0.0115563209819463
"62",0.00243765216127736
"63",0.00243752551940383
"64",0.00243739909706258
"65",0.00243727289368324
"66",0.00243714690869747
"67",0.00243702114153885
"68",0.00243689559164294
"69",0.00243677025844725
"70",0.00243664514139122
"71",0.00243652023991622
"72",0.00243639555346556
"73",-0.030906889007216
"74",0.00264512605298524
"75",0.00264489670693234
"76",0.00264466789938119
"77",0.00264443962843742
"78",0.00264421189221554
"79",0.00264398468883887
"80",0.00264375801643951
"81",0.00264353187315829
"82",0.0026433062571447
"83",0.00264308116655684
"84",0.00264285659956139
"85",-0.0762065376205884
"86",0.00317727565043729
"87",0.00317660992475139
"88",0.00317594683495025
"89",0.00317528636540994
"90",0.00317462850062979
"91",0.00317397322523113
"92",0.00317332052395613
"93",0.00317267038166661
"94",0.00317202278334284
"95",0.00317137771408241
"96",0.00317073515909907
"97",0.0275686361019707
"98",0.00295602513812159
"99",0.00295564658919209
"100",0.00295526927878469
"101",0.00295489320083112
"102",0.00295451834930265
"103",0.00295414471820981
"104",0.00295377230160208
"105",0.00295340109356755
"106",0.00295303108823264
"107",0.00295266227976174
"108",0.00295229466235695
"109",-0.105258403253637
"110",0.00370558532606795
"111",0.00370442818220024
"112",0.00370327749007903
"113",0.00370213319589601
"114",0.00370099524643953
"115",0.00369986358908643
"116",0.00369873817179388
"117",0.00369761894309138
"118",0.00369650585207299
