Date,spy_simulation
1871-01-31,1.0048833333333334
1871-02-28,1.0097235213888889
1871-03-31,1.0144692219394167
1871-04-30,1.0191104186297895
1871-05-31,1.0236539525795139
1871-06-30,1.0282518649165167
1871-07-31,1.0329646859640507
1871-08-31,1.037638851168038
1871-09-30,1.0422822850270148
1871-10-31,1.047198383138059
1871-11-30,1.0520853089260365
1871-12-31,1.0568985992143731
1872-01-31,1.0616722578874915
1872-02-29,1.0665117139296956
1872-03-31,1.0712754662519148
1872-04-30,1.0759890783034232
1872-05-31,1.0807772297018734
1872-06-30,1.0856947660970169
1872-07-31,1.0907161043902156
1872-08-31,1.0958879165851991
1872-09-30,1.101239502577857
1872-10-31,1.106653930132198
1872-11-30,1.1121779776667746
1872-12-31,1.1176647223565972
1873-01-31,1.1231785349868897
1873-02-28,1.1287195490928248
1873-03-31,1.1343819588307738
1873-04-30,1.1401956663697814
1873-05-31,1.1460771756821388
1873-06-30,1.1521227327838621
1873-07-31,1.1582577863359362
1873-08-31,1.1644737697892724
1873-09-30,1.1712956452906211
1873-10-31,1.1788700237968337
1873-11-30,1.1868372203743274
1873-12-31,1.1942252820711574
1874-01-31,1.2012712112353772
1874-02-28,1.2081584995131267
1874-03-31,1.2151859547852946
1874-04-30,1.2224466908651368
1874-05-31,1.2299545509582002
1874-06-30,1.237539270689109
1874-07-31,1.2451707628583586
1874-08-31,1.2528285630499376
1874-09-30,1.260418616094415
1874-10-31,1.2680651556987212
1874-11-30,1.275694681052175
1874-12-31,1.2834232646615493
1875-01-31,1.2911344994433909
1875-02-28,1.2988490280775653
1875-03-31,1.3064581186337196
1875-04-30,1.3139484785138864
1875-05-31,1.3217226736784269
1875-06-30,1.3296419953648835
1875-07-31,1.3375312045373817
1875-08-31,1.3453669081772965
1875-09-30,1.3532597273719367
1875-10-31,1.361255236927826
1875-11-30,1.3691051421274432
1875-12-31,1.376931859856605
1876-01-31,1.3846541527039675
1876-02-29,1.392315905682263
1876-03-31,1.4000316563262523
1876-04-30,1.4080935052805976
1876-05-31,1.416518598087193
1876-06-30,1.4250531226406684
1876-07-31,1.4337459466887765
1876-08-31,1.4428621813331393
1876-09-30,1.4526375726116711
1876-10-31,1.4625276134185357
1876-11-30,1.4726799926016827
1876-12-31,1.4829642078833511
1877-01-31,1.493085438602155
1877-02-28,1.5035743638083352
1877-03-31,1.514349980082295
1877-04-30,1.525657126600243
1877-05-31,1.536654571721153
1877-06-30,1.5481410646447684
1877-07-31,1.5588103368152788
1877-08-31,1.5684619708173932
1877-09-30,1.577232287337547
1877-10-31,1.5854996132436745
1877-11-30,1.5935724487744403
1877-12-31,1.6013411144622156
1878-01-31,1.6091076188673574
1878-02-28,1.6170458831204362
1878-03-31,1.6248481295064925
1878-04-30,1.6324442945119353
1878-05-31,1.640007953076507
1878-06-30,1.647428989064178
1878-07-31,1.6546914051909694
1878-08-31,1.6620134146589391
1878-09-30,1.6691877725655504
1878-10-31,1.6764487393762106
1878-11-30,1.6837273209863357
1878-12-31,1.6910515348326265
1879-01-31,1.698210319663418
1879-02-28,1.705201285479366
1879-03-31,1.712405760910516
1879-04-30,1.7194694346742718
1879-05-31,1.7263186545890574
1879-06-30,1.7332239292074136
1879-07-31,1.7400846072605263
1879-08-31,1.7469724421642658
1879-09-30,1.7536982860665982
1879-10-31,1.7598362300678314
1879-11-30,1.7657316814385586
1879-12-31,1.7717204547247711
1880-01-31,1.7776409539109763
1880-02-29,1.78362567845581
1880-03-31,1.7896602786679188
1880-04-30,1.7959986588215344
1880-05-31,1.8030629202128992
1880-06-30,1.8102751718937509
1880-07-31,1.8173503306905692
1880-08-31,1.8243471294637277
1880-09-30,1.831538097732364
1880-10-31,1.8386963591310015
1880-11-30,1.84566808282604
1880-12-31,1.8525124352998532
1881-01-31,1.859119729652423
1881-02-28,1.8659055166656542
1881-03-31,1.8727627194394005
1881-04-30,1.8797855796372982
1881-05-31,1.886646797002974
1881-06-30,1.8935802239819601
1881-07-31,1.9009178473498904
1881-08-31,1.908584882667535
1881-09-30,1.9163464611903829
1881-10-31,1.9243951163273825
1881-11-30,1.9325577589458045
1881-12-31,1.941125431677131
1882-01-31,1.949876672164942
1882-02-28,1.958862353829169
1882-03-31,1.9679057683626804
1882-04-30,1.9769909333266216
1882-05-31,1.986216891015479
1882-06-30,1.9955355585958268
1882-07-31,2.00439906236859
1882-08-31,2.013051384987815
1882-09-30,2.021657179658638
1882-10-31,2.030535624105972
1882-11-30,2.039859166846659
1882-12-31,2.049174523708592
1883-01-31,2.058600726517651
1883-02-28,2.0683104599443927
1883-03-31,2.077979811344633
1883-04-30,2.0875212019783906
1883-05-31,2.097297759607656
1883-06-30,2.107050194189832
1883-07-31,2.117041123860615
1883-08-31,2.1275734034518217
1883-09-30,2.1380694322421836
1883-10-31,2.148937951856081
1883-11-30,2.159736365064158
1883-12-31,2.1708590073442386
1884-01-31,2.1823283790997072
1884-02-29,2.1934946259727672
1884-03-31,2.204699727687111
1884-04-30,2.216439753737045
1884-05-31,2.2292212229835955
1884-06-30,2.2425408197909227
1884-07-31,2.2558839376686786
1884-08-31,2.2684416915883676
1884-09-30,2.2814096165919477
1884-10-31,2.29483190983623
1884-11-30,2.3085435304975017
1884-12-31,2.3222793645039617
1885-01-31,2.336154983706873
1885-02-28,2.3494515991558047
1885-03-31,2.3625302130577723
1885-04-30,2.3754453782224885
1885-05-31,2.3883123740211936
1885-06-30,2.4010500400159733
1885-07-31,2.413135325217387
1885-08-31,2.4243765139406914
1885-09-30,2.435569052180051
