,spxl_simulation
1934-06-04,183.21601421081024
1934-06-05,196.52991844828
1934-06-06,197.7351427524368
1934-06-07,195.90004937950943
1934-06-08,223.7337650418888
1934-06-11,218.44489208308715
1934-06-12,225.58046721465536
1934-06-13,225.57137266617477
1934-06-14,215.61060027849132
1934-06-15,227.18695485635806
1934-06-18,236.50511920018334
1934-06-19,224.17998494714755
1934-06-20,216.91094734827993
1934-06-21,210.44651936515012
1934-06-22,196.5207300721459
1934-06-25,194.70062823863054
1934-06-26,208.49991466911837
1934-06-27,206.60747337018861
1934-06-28,209.72010255306603
1934-06-29,198.99448788500203
1934-06-30,201.21520344664046
1934-07-01,201.13974774534796
1934-07-02,193.75036340731856
1934-07-03,191.94301314882992
1934-07-05,201.47281576088994
1934-07-06,207.004169745864
1934-07-09,205.11586698121957
1934-07-10,208.84452623843802
1934-07-11,211.9876837773166
1934-07-12,206.8863400304234
1934-07-13,208.13059052066114
1934-07-16,194.91753966344342
1934-07-17,192.50329194929117
1934-07-18,202.0411487296165
1934-07-19,195.8732120773327
1934-07-20,179.57606451628652
1934-07-23,157.95143149661408
1934-07-24,152.73214496299616
1934-07-25,156.80337501216113
1934-07-26,119.973327961449
1934-07-27,130.30112220839737
1934-07-30,133.4776405503829
1934-07-31,135.50581880379823
1934-08-01,148.08111871185272
1934-08-02,151.05331639366457
1934-08-03,145.51475208979923
1934-08-06,136.18940136454074
1934-08-07,135.24575181742534
1934-08-08,141.7769178367789
1934-08-09,156.2218504065544
1934-08-10,145.9490559411227
1934-08-13,157.71062090822542
1934-08-14,154.09256900583273
1934-08-15,151.0383716967154
1934-08-16,154.54091714342087
1934-08-17,151.99010512835014
1934-08-20,147.4544710198104
1934-08-21,158.2980190660058
1934-08-22,169.14340553575494
1934-08-23,166.43748941860554
1934-08-24,175.5091878043157
1934-08-27,168.31213470834786
1934-08-28,165.61665675399396
1934-08-29,161.35430545533458
1934-08-30,156.12033896214328
1934-08-31,157.51911078942385
1934-09-01,157.4364132562594
1934-09-04,152.78440136400073
1934-09-05,160.36687088349424
1934-09-06,150.43542000534865
1934-09-07,145.42595967617763
1934-09-10,134.65987990595687
1934-09-11,135.58313975749914
1934-09-12,136.97704082790906
1934-09-13,135.5626117277192
1934-09-14,123.89751805533268
