DATE,tlt_simulation
1977-02-15,
1977-02-16,1.0037860694184748
1977-02-17,1.0040880082681558
1977-02-18,0.993985459816591
1977-02-22,0.9931446919895285
1977-02-23,0.9888953683877522
1977-02-24,0.9880663079441901
1977-02-25,0.991772513177592
1977-02-28,0.9909380764048261
1977-03-01,0.9867123663199318
1977-03-02,0.9904077929148097
1977-03-03,0.9929853411679201
1977-03-04,0.9898785772975562
1977-03-07,0.9879202246195701
1977-03-08,0.988224108880663
1977-03-09,0.9919251972406655
1977-03-10,0.9922291231211002
1977-03-11,0.9936711882901212
1977-03-14,0.9939752516737381
1977-03-15,0.9965638709259412
1977-03-16,0.9957239110440993
1977-03-17,0.9971724451641855
1977-03-18,0.9997729860959731
1977-03-21,1.0023839275609523
1977-03-22,0.9992292591732332
1977-03-23,0.9983855551709964
1977-03-24,0.9986902624424346
1977-03-25,0.9989950627105322
1977-03-28,0.9970083431610822
1977-03-29,0.9973134277140897
1977-03-30,0.9976186056229703
1977-03-31,0.9990691989860835
1977-04-01,1.0005225996797968
1977-04-04,1.0008279591772193
1977-04-05,1.0011334118703603
1977-04-06,1.0014389577876632
1977-04-07,1.0017445969575802
1977-04-11,1.0043570616724034
1977-04-12,1.0046627879619765
1977-04-13,1.0049686073146322
1977-04-14,1.020505829219018
1977-04-15,1.0184362475955728
1977-04-18,1.0199279729158592
1977-04-19,1.0166800434770615
1977-04-20,1.0146289481872286
1977-04-21,1.0149349602780018
1977-04-22,1.0105533860640654
1977-04-25,1.0073692612593654
1977-04-26,1.0100000406576348
1977-04-27,1.0091426905652603
1977-04-28,1.0082875859608844
1977-04-29,1.0039686504425676
1977-05-02,1.004275864849603
1977-05-03,1.005736138240731
1977-05-04,1.0071992376961993
1977-05-05,1.0051962023555714
1977-05-06,0.9986257576607896
1977-05-09,0.9989337338444523
1977-05-10,0.9992418050079699
1977-05-11,0.9995499711806344
1977-05-12,0.9998582323917464
1977-05-13,1.007047367320014
1977-05-16,1.0085116706310602
1977-05-17,1.0111399635003888
1977-05-18,1.0114481589612636
1977-05-19,1.0071205211371743
1977-05-20,1.007429102864851
1977-05-23,1.008893259061889
1977-05-24,1.0138483675890873
1977-05-25,1.016496067395897
1977-05-26,1.0144639749065503
1977-05-27,1.0171132823929967
1977-05-31,1.0174220779855312
1977-06-01,1.0165584276118371
1977-06-02,1.0180401297919321
1977-06-03,1.0207024754706209
1977-06-06,1.0210115441801935
1977-06-07,1.0272494983040847
1977-06-08,1.0275584949531746
1977-06-09,1.0278675845484566
1977-06-10,1.0293716388419025
1977-06-13,1.0344858599809792
1977-06-14,1.038427143486538
1977-06-15,1.0375220161941119
1977-06-16,1.0354096762559837
1977-06-17,1.0357190566672492
1977-06-20,1.0348210400266673
1977-06-21,1.0363382672635764
1977-06-22,1.0378584742917754
1977-06-23,1.0381681712605042
1977-06-24,1.040908032695394
1977-06-27,1.0424372301895952
1977-06-28,1.045194212635801
1977-06-29,1.0455040082004263
1977-06-30,1.0433642806948913
1977-07-01,1.0436743685591139
1977-07-05,1.0379007277430428
1977-07-06,1.0382112676407835
1977-07-07,1.0397334655397459
1977-07-08,1.0364146427337093
1977-07-11,1.0367255671265294
1977-07-12,1.0370365847966674
1977-07-13,1.0409782785637356
1977-07-15,1.0388644236116593
1977-07-18,1.0391756673929733
1977-07-19,1.039487004422924
1977-07-20,1.039798434729449
1977-07-21,1.0389000510206319
1977-07-22,1.039211721035938
1977-07-25,1.0407338766358272
1977-07-26,1.0410456805052672
1977-07-27,1.0389371958942144
1977-07-28,1.0344369039672612
1977-07-29,1.032358132963183
1977-08-01,1.03506168812644
1977-08-02,1.0329816615762875
1977-08-03,1.0356868496457499
1977-08-04,1.035999627074343
1977-08-05,1.0339177156723633
1977-08-08,1.035426920031665
1977-08-09,1.033348870741221
1977-08-10,1.0336621821188299
1977-08-11,1.0327831897448392
1977-08-12,1.0330967427212459
1977-08-15,1.033410390892336
1977-08-16,1.033724134287011
1977-08-17,1.0364274962678768
1977-08-18,1.0379403641409748
1977-08-19,1.041867012131294
1977-08-22,1.0433908014737092
1977-08-23,1.0461328282076257
1977-08-24,1.046446668056088
1977-08-25,1.0504241288029088
1977-08-26,1.0556602809954794
1977-08-29,1.0559740232309913
1977-08-30,1.0550519833327239
1977-08-31,1.0541323652824517
1977-09-01,1.0532151622458499
1977-09-02,1.0572309648304676
1977-09-06,1.0587849204706383
1977-09-07,1.0566208375257833
1977-09-08,1.0556998520105358
1977-09-09,1.049872399684923
1977-09-12,1.0489669096043597
1977-09-13,1.0492820192640049
1977-09-14,1.053267129066413
1977-09-15,1.0535822665914296
1977-09-16,1.0538974984055938
1977-09-19,1.0542128245371167
1977-09-20,1.0520748852658321
1977-09-21,1.0511674955936168
1977-09-22,1.0502624861342622
1977-09-23,1.0505784050900915
1977-09-26,1.0472446857528483
1977-09-27,1.049991060659986
1977-09-28,1.050307317967457
1977-09-29,1.0506236705316288
1977-09-30,1.0509401183811928
1977-10-03,1.0488226682637085
1977-10-04,1.0503551262602413
1977-10-05,1.0506719133663214
1977-10-06,1.0473457471064405
1977-10-07,1.0464535398358936
1977-10-11,1.041956069805476
1977-10-12,1.0398812100885073
1977-10-13,1.0401989977863104
1977-10-14,1.040516882600034
1977-10-17,1.0408348645593566
1977-10-18,1.0399591487335746
1977-10-19,1.041471307619304
1977-10-20,1.0429863929832734
1977-10-21,1.0421073055981378
1977-10-24,1.041230519192581
1977-10-25,1.040356027397993
1977-10-26,1.040674792484788
1977-10-27,1.0409936552412054
